year,combinedStatus,fullName,sortName,primaryNationality,secondaryNationality,tertiaryNationality,gender,photoUrl,photoCredit,type,lastStatus,typeOfDeath,status,employedAs,organizations,jobs,coverage,mediums,country,location,region,state,locality,province,localOrForeign,sourcesOfFire,motiveConfirmed,accountabilityCrossfire,accountabilityAssignment,impunityMurder,tortured,captive,threatened,charges,motive,lengthOfSentence,healthProblems,impCountry,entry,sentenceDate,sentence,locationImprisoned
,Confirmed,Jomaa Al-Ahmad (Abu al-Nour al-Halabi),,Syria,,,Male,,,Journalist,,Crossfire,Killed,Staff,Shahba Press Agency,"Broadcast Reporter,Camera Operator,Internet Reporter",War,Internet,Syria,Aleppo,,,Aleppo,,Local,Military Officials,Confirmed,,,,,,,,,,,,,,,
,Confirmed,José Moisés Sánchez Cerezo ,,Mexico,,,Male,,,Journalist,,Murder,Killed,Staff,La Unión,"Internet Reporter,Print Reporter,Publisher / Owner","Corruption,Crime,Politics","Print,Internet",Mexico,"Medellín de Bravo, Veracruz",,,"Medellín de Bravo, Veracruz",,Local,Government Officials,Confirmed,,,Complete Impunity,Yes,Yes,Yes,,,,,,,,,
,Confirmed,Kenji Goto,,,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/Kenji-Goto200.jpg,Getty,Journalist,,Murder,Killed,Freelance,Freelance,"Camera Operator,Photographer,Internet Reporter","Culture,Human Rights,Politics,War","Television,Internet",Syria,Unknown,,,Unknown,,Foreign,Political Group,Confirmed,,,Complete Impunity,Yes,Yes,No,,,,,,,,,
,Confirmed,Khaled al-Washli,,Yemen,,,Male,,,Journalist,,Dangerous Assignment,Killed,Staff,Al-Masirah TV,Broadcast Reporter,"Human Rights,Politics,War",Television,Yemen,Dhamar,,,Dhamar,,Local,Political Group,Confirmed,,,,,,,,,,,,,,,
,Confirmed,Luis Antonio Peralta Cuéllar,,Colombia,,,Male,,,Journalist,,Murder,Killed,Staff,Linda Stereo,"Broadcast Reporter,Producer,Publisher/Owner","Business,Corruption,Politics",Radio,Colombia,Doncello,,Caquetá,Doncello,,Local,Local Residents,Confirmed,,,Partial Impunity,No,No,Yes,,,,,,,,,
,Confirmed,Łukasz Masiak,,Poland,,,Male,,,Journalist,,Murder,Killed,Staff,Nasza Mława,"Editor,Internet Reporter","Corruption,Crime",Internet,Poland,Mława,,,Mława,,Local,Local Residents,Confirmed,,,Complete Impunity,No,No,Yes,,,,,,,,,
,Confirmed,Mohamed Shamsan,,Yemen,,,Male,,,Journalist,,Crossfire,Killed,Staff,Yemen Today,Broadcast Reporter,"Culture,Human Rights,Politics,War",Television,Yemen,Sana'a,,,Sana'a,,Local,Military Officials,Confirmed,,,,No,No,No,,,,,,,,,
,Confirmed,Mohammed al-Asfar,,Syria,,,Male,,,Journalist,,Crossfire,Killed,Staff,Al-Jazeera,Camera Operator,War,Television,Syria,Daraa,,,Daraa,,Local,Military Officials,Confirmed,,,,,,,,,,,,,,,
,Confirmed,Moustapha Ourrad,,France,,,Male,,,Journalist,,Murder,Killed,Staff,Charlie Hebdo,Editor,"Culture,Human Rights,Politics","Print,Internet",France,Paris,,,Paris,,Local,Political Group,Confirmed,,,Partial Impunity,No,No,Yes,,,,,,,,,
,Confirmed,Muftah al-Qatrani,,Libya,,,Male,,,Journalist,,Murder,Killed,Staff,Al-Anwar,"Broadcast Reporter,Editor,Producer",War,Television,Libya,"Benghazi, Libya ",,,"Benghazi, Libya ",,Local,Unknown Fire,Confirmed,,,Complete Impunity,No,No,Yes,,,,,,,,,
,Confirmed,Musa Mohamed,,South Sudan,,,Male,,,Journalist,,Murder,Killed,Staff,Raja FM,Editor,"Politics,War",Radio,South Sudan,Western Bahr al Ghazal state,,Western Bahr al Ghazal state,Western Bahr al Ghazal state,,Local,Political Group,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,
,Confirmed,Mustaf Abdi Noor ,,Somalia,,,Male,,,Journalist,,Dangerous Assignment,Killed,Freelance,Freelance,"Camera Operator,Photographer","Politics,War","Television,Internet",Somalia,Mogadishu,,,Mogadishu,,Local,Political Group,Confirmed,,,,,,,,,,,,,,,
